
680381337.343,44400.783997025462962962962963,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680381479.246,44400.785639421296296296296296,Recv,,/0x15/0x0,Received unexpected link ack or nak
680381488.312,44400.785744351851851851851852,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680381488.528,44400.785746851851851851851852,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680381493.342,44400.785802569444444444444444,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680381493.546,44400.785804930555555555555556,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680381602.816,44400.787069629629629629629630,Recv,,/0x15/0x0,Received unexpected link ack or nak

680610778.911, 44403.439560185185185185185185,Simulator v18.12.24 is starting as UCM,UCM Sent:,SGD Sent:
680610778.924,44403.439570879629629629629630,Sent,/0x8/0x1/0x0/0x2/0xE/0x1/0xE2/0x58,,Sent Comm Status
680610779.132,44403.439573287037037037037037,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610779.137,44403.439573344907407407407407,Sent,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Sent Op State Query
680610779.341,44403.439575706018518518518518,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610779.480,44403.439577314814814814814815,Sent,/0x8/0x1/0x0/0x0/0x7E/0xCD,,Sent Message Supported Query
680610779.684,44403.439579675925925925925926,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610779.954,44403.439582800925925925925926,Sent,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Sent Message Supported Query
680610780.158,44403.439585162037037037037037,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610780.428,44403.439588287037037037037037,Sent,/0x8/0x3/0x0/0x0/0x76/0xD3,,Sent Message Supported Query
680610780.634,44403.439590671296296296296296,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610780.907,44403.439593831018518518518518,Sent,/0x8/0x4/0x0/0x0/0x72/0xD6,,Sent Message Supported Query
680610781.114,44403.439596226851851851851852,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610781.383,44403.439599340277777777777778,Sent,/0x9/0x1/0x0/0x0/0x79/0xD1,,Sent Message Supported Query
680610781.588,44403.439601712962962962962963,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610781.857,44403.439604826388888888888889,Sent,/0x9/0x2/0x0/0x0/0x75/0xD4,,Sent Message Supported Query
680610782.062,44403.439607199074074074074074,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610782.333,44403.439610335648148148148148,Sent,/0x9/0x3/0x0/0x0/0x71/0xD7,,Sent Message Supported Query
680610782.537,44403.439612696759259259259259,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610782.808,44403.439615833333333333333333,Sent,/0x9/0x4/0x0/0x0/0x6D/0xDA,,Sent Message Supported Query
680610783.014,44403.439618217592592592592593,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610783.297,44403.439621493055555555555556,Sent,/0x9/0x5/0x0/0x0/0x69/0xDD,,Sent Message Supported Query
680610783.502,44403.439623865740740740740741,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610783.774,44403.439627013888888888888889,Sent,/0x9/0x6/0x0/0x0/0x65/0xE0,,Sent Message Supported Query
680610783.980,44403.439629398148148148148148,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610784.249,44403.439632511574074074074074,Sent,/0x9/0x7/0x0/0x0/0x61/0xE3,,Sent Message Supported Query
680610784.454,44403.439634884259259259259259,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610784.726,44403.439638032407407407407407,Sent,/0x9/0x8/0x0/0x0/0x5D/0xE6,,Sent Message Supported Query
680610784.931,44403.439640405092592592592593,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610785.198,44403.439643495370370370370370,Sent,/0x9/0x9/0x0/0x0/0x59/0xE9,,Sent Message Supported Query
680610785.404,44403.439645879629629629629630,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610785.668,44403.439648935185185185185185,Sent,/0x9/0xA/0x0/0x0/0x55/0xEC,,Sent Message Supported Query
680610785.874,44403.439651319444444444444444,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610786.147,44403.439654479166666666666667,Sent,/0x9/0xB/0x0/0x0/0x51/0xEF,,Sent Message Supported Query
680610786.354,44403.439656875,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680610786.631,44403.439660081018518518518518,Sent,/0x9/0xC/0x0/0x0/0x4D/0xF2,,Sent Message Supported Query
