
667298969.533,44249.367702928240740740740741,Sent,/0x8/0x1/0x0/0x2/0x6/0x80/0xFB/0xC7,,Sent request for Power Level
667298969.586,44249.367703541666666666666667,Recv,,/0x6/0x0,Link Ack Received
667298969.689,44249.367704733796296296296296,Recv,,/0x8/0x1/0x0/0x2/0x3/0x6/0xF9/0x47,Recieved an Application Ack with code: 6
667298969.733,44249.367705243055555555555556,Sent,/0x6/0x0,,Sent Link Ack
667298987.491,44249.367910775462962962962963,Sent,/0x8/0x1/0x0/0x2/0x6/0x8F/0xDD/0xD6,,Sent request for Power Level
667298987.552,44249.367911481481481481481482,Recv,,/0x6/0x0,Link Ack Received
667298987.647,44249.367912581018518518518518,Recv,,/0x8/0x1/0x0/0x2/0x3/0x6/0xF9/0x47,Recieved an Application Ack with code: 6
667298987.691,44249.367913090277777777777778,Sent,/0x6/0x0,,Sent Link Ack
667299011.571,44249.368189479166666666666667,Recv,,/0x8/0x2/0x0/0x2/0x3/0x0/0xFF/0x46,Received a Get Energy Price Request
667299011.671,44249.368190636574074074074074,Sent,/0x6/0x0,,Sent Link Ack
667299011.780,44249.368191898148148148148148,Sent,/0x8/0x2/0x0/0x12/0x3/0x80/0x0/0x0/0x0/0x0/0x0/0x0/0x0/0x0/0x23/0x1B/0x8/0x57/0x0/0x0/0x0/0x0/0xC0/0x57,,Sent Get Energy Price Request Reply
667299011.900,44249.368193287037037037037037,Recv,,/0x6/0x0,Link Ack Received
667299040.680,44249.368526388888888888888889,Sent,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Sent Op State Query
667299040.889,44249.368528807870370370370370,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
667299061.845,44249.368771354166666666666667,Sent,/0x8/0x1/0x0/0x2/0x2/0x0/0x9/0x3F,,Sent an End Shed/Run Normal Command
667299061.984,44249.368772962962962962962963,Recv,,/0x6/0x0,Link Ack Received
667299062.026,44249.368773449074074074074074,Recv,,/0x8/0x1/0x0/0x2/0x3/0x2/0x2/0x43,Recieved an Application Ack with code: 2
667299062.067,44249.368773923611111111111111,Sent,/0x6/0x0,,Sent Link Ack
667299064.132,44249.368797824074074074074074,Sent,/0x8/0x1/0x0/0x2/0x17/0x1D/0x8F/0x86,,Sent Loadup Command
667299064.181,44249.368798391203703703703704,Recv,,/0x6/0x0,Link Ack Received
667299064.289,44249.368799641203703703703704,Recv,,/0x8/0x1/0x0/0x2/0x3/0x17/0xD7/0x58,Recieved an Application Ack with code: 17
667299064.327,44249.368800081018518518518518,Sent,/0x6/0x0,,Sent Link Ack
667299064.530,44249.368802430555555555555556,Sent,/0x8/0x1/0x0/0x2/0x17/0x1D/0x8F/0x86,,Sent Loadup Command
667299064.580,44249.368803009259259259259259,Recv,,/0x6/0x0,Link Ack Received
667299064.690,44249.368804282407407407407407,Recv,,/0x8/0x1/0x0/0x2/0x3/0x17/0xD7/0x58,Recieved an Application Ack with code: 17
667299064.727,44249.368804710648148148148148,Sent,/0x6/0x0,,Sent Link Ack
667299071.766,44249.368886180555555555555556,Sent,/0x8/0x1/0x0/0x2/0x17/0x1D/0x8F/0x86,,Sent Loadup Command
667299071.808,44249.368886666666666666666667,Recv,,/0x6/0x0,Link Ack Received
667299071.913,44249.368887881944444444444444,Recv,,/0x8/0x1/0x0/0x2/0x3/0x17/0xD7/0x58,Recieved an Application Ack with code: 17
667299071.950,44249.368888310185185185185185,Sent,/0x6/0x0,,Sent Link Ack
667299115.651,44249.369394108796296296296296,Sent,/0x8/0x1/0x0/0x2/0x1/0x1D/0xD1/0x5A,,Sent Shed Command
667299115.729,44249.369395011574074074074074,Recv,,/0x6/0x0,Link Ack Received
667299115.811,44249.369395960648148148148148,Recv,,/0x8/0x1/0x0/0x2/0x3/0x1/0x4/0x42,Recieved an Application Ack with code: 1
667299115.854,44249.369396458333333333333333,Sent,/0x6/0x0,,Sent Link Ack
667299122.361,44249.369471770833333333333333,Sent,/0x8/0x1/0x0/0x2/0x1/0xFF/0xC/0x3D,,Sent Shed Command
667299122.400,44249.369472222222222222222222,Recv,,/0x6/0x0,Link Ack Received
