
664899579.797,44221.596988391203703703703704,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664899579.845,44221.596988946759259259259259,Recv,/0x6/0x0,,Link Ack Received
664899622.520,44221.597482870370370370370370,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664899622.566,44221.597483402777777777777778,Sent,,/0x6/0x0,Sent Link Ack
664899622.670,44221.597484606481481481481482,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664899622.720,44221.597485185185185185185185,Sent,,/0x6/0x0,Sent Link Ack
664899622.828,44221.597486435185185185185185,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664899622.883,44221.597487071759259259259259,Recv,/0x6/0x0,,Link Ack Received
664899622.982,44221.597488217592592592592593,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664899623.028,44221.59748875,Sent,,/0x6/0x0,Sent Link Ack
664899623.136,44221.59749,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664899623.183,44221.597490543981481481481482,Sent,,/0x6/0x0,Sent Link Ack
664899623.297,44221.597491863425925925925926,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664899623.355,44221.597492534722222222222222,Recv,/0x6/0x0,,Link Ack Received
664899695.918,44221.598332384259259259259259,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664899695.963,44221.598332905092592592592593,Sent,,/0x6/0x0,Sent Link Ack
664899696.074,44221.598334189814814814814815,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664899696.115,44221.598334664351851851851852,Sent,,/0x6/0x0,Sent Link Ack
664899696.240,44221.598336111111111111111111,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664899696.285,44221.598336631944444444444444,Recv,/0x6/0x0,,Link Ack Received
664899696.398,44221.598337939814814814814815,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664899696.443,44221.598338460648148148148148,Sent,,/0x6/0x0,Sent Link Ack
664899696.555,44221.598339756944444444444444,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664899696.598,44221.598340254629629629629630,Sent,,/0x6/0x0,Sent Link Ack
